"","Study","intercept","slope","TAXA","START_YEAR","meanCentredStartYear","meanCentredEndYear","StartY","EndY"
"1","10",0.707512627352939,-0.000109761739966024,"Plants/Algae",1984,-6.66666666666674,5.33333333333326,0.708244372286046,0.706927231406454
"4","100",0.784744250679659,-6.94304592834766e-05,"Fish",1981,-15,15,0.785785707568911,0.783702793790407
"35","101",0.556713950485879,-0.000384950449038412,"Invertebrates",1981,-15,15,0.562488207221455,0.550939693750302
"66","108",0.774395002785722,0.000246726820683334,"Birds",1977,-19.4285714285713,9.57142857142867,0.769601453126732,0.776756530926549
"80","110",0.993308935610238,0.000530190477959239,"Benthos",1954,-33.5238095238096,12.4761904761904,0.975534931015794,0.99992369300192
"101","112",0.784754491442344,0.00077680700707484,"Fish",1973,-25.5,6.5,0.764945912761936,0.789803736988331
"115","113",0.991456063107292,0.000207260941336459,"Invertebrates",1965,-13.1176470588234,20.8823529411766,0.988737287229761,0.9957841592352
"132","117",0.880100265072206,0.000121491967436475,"Invertebrates",1956,-24.6785714285713,22.3214285714287,0.877102016875827,0.882812139345342
"160","119",0.874797851950272,-0.00124470306348271,"Fish",1970,-23.5,16.5,0.904048373942116,0.854260251402807
"192","120",0.947663303244945,0.00069956224020888,"Plants/Algae",2002,-3.5,2.5,0.945214835404213,0.949412208845467
"198","121",0.919287630453911,0.000917930991929468,"Fish",2000,-5.625,4.375,0.914124268624308,0.923303578543603
"206","122",0.931020421953677,0.000641420746664138,"Invertebrates",2007,-2.5,0.5,0.929416870087017,0.931341132327009
"208","123",0.80115814566891,0.000465821321429693,"Fish",2000,-5,4,0.798829039061762,0.803021430954629
"217","124",0.98055159256362,0.00100240648803494,"Invertebrates",1903,-1.75,4.25,0.978797381209559,0.984811820137768
"221","125",0.807202343429223,-0.000130203531062989,"Fish",1988,-7.20000000000005,4.79999999999995,0.808139808852877,0.806577366480121
"231","126",0.878703896553316,-0.000321163347584792,"Fish",1973,-2.5,4.5,0.879506804922278,0.877258661489184
"237","127",0.782677231580762,-0.000494245041032316,"Fish",1980,-5.375,3.625,0.78533379867631,0.78088559330702
"245","128",0.968713727671701,0.000912867182873017,"Invertebrates",1995,-2,2,0.966887993305955,0.970539462037447
"250","129",0.88214655193417,0.00101804827702685,"Invertebrates",1974,-2.5,1.5,0.879601431241603,0.88367362434971
"254","133",0.866360450249225,-0.00016517285399772,"Invertebrates",1954,-2.5,4.5,0.86677338238422,0.865617172406235
"260","142",0.89409043320477,0.000863721882954169,"Fish",1997,-3,2,0.891499267555907,0.895817876970678
"263","143",0.636604351562585,-0.00155685226202071,"Invertebrates",2002,-3.79999999999995,3.20000000000005,0.642520390158264,0.631622424324119
"268","147",0.987887239178907,0.000124230661332701,"Invertebrates",1874,-101.173913043478,27.8260869565217,0.975318337051899,0.991344092363817
"291","150",0.950818812344876,0.000838959100607376,"Invertebrates",1979,-3.5,3.5,0.94788245549275,0.953755169197002
"293","152",0.731793466706571,0.000464332567630256,"Invertebrates",1977,-5.5,19.5,0.729239637584604,0.740847951775361
"305","162",0.988854396405425,0.000973258947919592,"Benthos",1990,-9.875,4.125,0.979243464294719,0.992869089565593
"313","163",0.445916118891425,-0.00272585208575011,"Benthos",1993,-5.5,5.5,0.460908305363051,0.430923932419799
"325","164",0.924771847325635,0.000727664309081284,"Invertebrates",2000,-2,3,0.923316518707473,0.926954840252879
"330","166",0.834885798910518,0.00108666572760913,"Birds",1965,-13.2777777777778,13.7222222222222,0.820457292860597,0.849797267506043
"348","169",0.879821591018771,-0.000987306443193687,"Birds",1987,-9.5,9.5,0.889201002229111,0.870442179808431
"366","171",0.645058520986502,0.00400791501054405,"Mammals",1988,-13,7,0.592955625849429,0.67311392606031
"381","172",0.656997150126868,0.00141379247604398,"All",1998,-5.5,5.5,0.649221291508626,0.66477300874511
"393","173",0.963886660026387,0.000643131496990336,"Invertebrates",1996,-8.40000000000009,7.59999999999991,0.958484355451668,0.968774459403514
"403","176",0.864759188356789,0.00056827795799996,"Multipe",1998,-6.5,5.5,0.86106538162979,0.867884717125789
"415","178",0.980834341917417,0.000240143601132431,"Fish",1963,-28.1818181818182,15.8181818181818,0.974066658612775,0.984632977062602
"437","18",0.872635750468469,0.00242308221005739,"Plants/Algae",1923,-21.1199999999999,28.8800000000001,0.821460254192057,0.942614364694926
"462","180",0.834253593325519,-0.000239155470514341,"Fish",1970,-12.3333333333333,12.6666666666667,0.837203177461863,0.831224290699004
"486","182",0.724542297819071,-0.00423467577812731,"All",1988,-10.6190476190477,10.3809523809523,0.769510521558233,0.68058233021756
"507","183",0.458767948001991,-0.00294281041650814,"Invertebrates",1999,-6,6,0.476424810501039,0.441111085502942
"520","184",0.978243689091981,0.000978469690039462,"Invertebrates",2006,-2,2,0.976286749711902,0.98020062847206
"525","186",0.978827450749198,0.000997468440573102,"Benthos",2003,-1,2,0.977829982308625,0.980822387630345
"528","187",0.990812990913894,0.000856926670400067,"Benthos",1991,-8,7,0.983957577550694,0.996811477606695
"538","189",0.848007127034171,-5.17016321134454e-05,"Fish",2001,-5,4,0.848265635194739,0.847800320505718
"547","190",0.915619193505433,0.000161519907627317,"Fish",2001,-4.5,4.5,0.91489235392111,0.916346033089756
"557","191",0.805803156734247,0.000828700838523515,"Invertebrates",1900,-62,13,0.754423704745789,0.816576267635053
"572","192",0.84746300783006,0.000875753075558818,"Mammals",1932,-22.5172413793102,25.4827586206898,0.827743464439029,0.869779612065852
